Dataset, Balancing, Feature Selection, Training Release, Classifier, Training% of total, Positive% in training, Positive% in testing, TP, FP, TN, FN, Precision, Recall, AUC, kappa
BOOKKEEPER, None, BestFirst, 5, RandomForest, 72.68308489954633, 57.91350869371378, 47.21233689205219, 288.0, 0.0, 398.0, 157.0, 1.0, 0.647191011235955, 0.9985912709615493, 0.6339840541594418
BOOKKEEPER, None, BestFirst, 5, IBk, 72.68308489954633, 57.91350869371378, 47.21233689205219, 445.0, 8.0, 390.0, 0.0, 0.9823399558498896, 1.0, 0.9926853367963413, 0.980940753552413
BOOKKEEPER, None, BestFirst, 6, NaiveBayes, 77.94897701439758, 54.99027867790019, 48.911798396334476, 433.0, 153.0, 274.0, 13.0, 0.7389078498293515, 0.9708520179372198, 0.9711723254324152, 0.6168461017809552
BOOKKEEPER, None, BestFirst, 6, RandomForest, 77.94897701439758, 54.99027867790019, 48.911798396334476, 445.0, 25.0, 402.0, 1.0, 0.9468085106382979, 0.9977578475336323, 0.9998529736087628, 0.9403356219836605
BOOKKEEPER, None, BestFirst, 6, IBk, 77.94897701439758, 54.99027867790019, 48.911798396334476, 445.0, 22.0, 405.0, 1.0, 0.9528907922912205, 0.9977578475336323, 0.9651888764033144, 0.9472278802055272
BOOKKEEPER, None, BestFirst, 7, NaiveBayes, 81.2102564102564, 53.64991159383683, 81.87772925764192, 162.0, 453.0, 297.0, 4.0, 0.2634146341463415, 0.9759036144578314, 0.8546867469879518, 0.18114456511533283
BOOKKEEPER, None, BestFirst, 7, RandomForest, 81.2102564102564, 53.64991159383683, 81.87772925764192, 166.0, 317.0, 433.0, 0.0, 0.34368530020703936, 1.0, 0.8883895582329318, 0.3311373604098331
BOOKKEEPER, None, BestFirst, 7, IBk, 81.2102564102564, 53.64991159383683, 81.87772925764192, 166.0, 315.0, 435.0, 0.0, 0.34511434511434513, 1.0, 0.8842008032128514, 0.3335643015521063
BOOKKEEPER, UnderSampling, None, 2, NaiveBayes, 45.42372881355932, 58.95522388059702, 60.66252587991718, 139.0, 47.0, 246.0, 51.0, 0.7473118279569892, 0.7315789473684211, 0.8518142626190048, 0.5732907832107312
BOOKKEEPER, UnderSampling, None, 2, RandomForest, 45.42372881355932, 58.95522388059702, 60.66252587991718, 166.0, 7.0, 286.0, 24.0, 0.9595375722543352, 0.8736842105263158, 0.9690677204957787, 0.8633713237642463
BOOKKEEPER, UnderSampling, None, 2, IBk, 45.42372881355932, 58.95522388059702, 60.66252587991718, 178.0, 37.0, 256.0, 12.0, 0.827906976744186, 0.9368421052631579, 0.9012753727321717, 0.7922398279418865
BOOKKEEPER, OverSampling, None, 2, NaiveBayes, 45.42372881355932, 58.95522388059702, 60.66252587991718, 148.0, 72.0, 221.0, 42.0, 0.6727272727272727, 0.7789473684210526, 0.8502514819471888, 0.5188149960674648
BOOKKEEPER, OverSampling, None, 2, RandomForest, 45.42372881355932, 58.95522388059702, 60.66252587991718, 158.0, 4.0, 289.0, 32.0, 0.9753086419753086, 0.8315789473684211, 0.9656098437219328, 0.8396769196724938
BOOKKEEPER, OverSampling, None, 2, IBk, 45.42372881355932, 58.95522388059702, 60.66252587991718, 172.0, 40.0, 253.0, 18.0, 0.8113207547169812, 0.9052631578947369, 0.8784084785342196, 0.7534109113955249
BOOKKEEPER, SMOTE, None, 2, NaiveBayes, 45.42372881355932, 58.95522388059702, 60.66252587991718, 150.0, 75.0, 218.0, 40.0, 0.6666666666666666, 0.7894736842105263, 0.8589814981138854, 0.5167688894688763
BOOKKEEPER, SMOTE, None, 2, RandomForest, 45.42372881355932, 58.95522388059702, 60.66252587991718, 184.0, 38.0, 255.0, 6.0, 0.8288288288288288, 0.968421052631579, 0.9681156816957068, 0.8146132105097874
BOOKKEEPER, SMOTE, None, 2, IBk, 45.42372881355932, 58.95522388059702, 60.66252587991718, 179.0, 30.0, 263.0, 11.0, 0.8564593301435407, 0.9421052631578948, 0.9209358721034668, 0.8252116119579512
BOOKKEEPER, UnderSampling, None, 3, NaiveBayes, 56.58567774936062, 59.887005649717516, 56.553755522827686, 159.0, 23.0, 361.0, 136.0, 0.8736263736263736, 0.5389830508474577, 0.8468970692090395, 0.5013417827928482
BOOKKEEPER, UnderSampling, None, 3, RandomForest, 56.58567774936062, 59.887005649717516, 56.553755522827686, 190.0, 0.0, 384.0, 105.0, 1.0, 0.6440677966101694, 0.9289106638418079, 0.6717768109937159
BOOKKEEPER, UnderSampling, None, 3, IBk, 56.58567774936062, 59.887005649717516, 56.553755522827686, 235.0, 22.0, 362.0, 60.0, 0.914396887159533, 0.7966101694915254, 0.8579669844632768, 0.7505220048571095
BOOKKEEPER, OverSampling, None, 3, NaiveBayes, 56.58567774936062, 59.887005649717516, 56.553755522827686, 162.0, 27.0, 357.0, 133.0, 0.8571428571428571, 0.5491525423728814, 0.8551024011299435, 0.4996453672061382
BOOKKEEPER, OverSampling, None, 3, RandomForest, 56.58567774936062, 59.887005649717516, 56.553755522827686, 186.0, 0.0, 384.0, 109.0, 1.0, 0.6305084745762712, 0.9169977048022598, 0.6587137264305378
BOOKKEEPER, OverSampling, None, 3, IBk, 56.58567774936062, 59.887005649717516, 56.553755522827686, 237.0, 35.0, 349.0, 58.0, 0.8713235294117647, 0.8033898305084746, 0.8589115466101694, 0.718737890456232
BOOKKEEPER, SMOTE, None, 3, NaiveBayes, 56.58567774936062, 59.887005649717516, 56.553755522827686, 169.0, 18.0, 366.0, 126.0, 0.9037433155080213, 0.5728813559322034, 0.8752957274011299, 0.5493113557165772
BOOKKEEPER, SMOTE, None, 3, RandomForest, 56.58567774936062, 59.887005649717516, 56.553755522827686, 272.0, 114.0, 270.0, 23.0, 0.7046632124352331, 0.9220338983050848, 0.9279131355932203, 0.6035822193054604
BOOKKEEPER, SMOTE, None, 3, IBk, 56.58567774936062, 59.887005649717516, 56.553755522827686, 244.0, 25.0, 359.0, 51.0, 0.9070631970260223, 0.8271186440677966, 0.8714645127118644, 0.7698777235714348
BOOKKEEPER, UnderSampling, None, 4, NaiveBayes, 69.72804279982167, 58.43989769820972, 56.70103092783505, 290.0, 206.0, 179.0, 4.0, 0.5846774193548387, 0.9863945578231292, 0.9825293753865182, 0.41743407881942457
BOOKKEEPER, UnderSampling, None, 4, RandomForest, 69.72804279982167, 58.43989769820972, 56.70103092783505, 281.0, 24.0, 361.0, 13.0, 0.921311475409836, 0.95578231292517, 0.9948670377241806, 0.8895114367515315
BOOKKEEPER, UnderSampling, None, 4, IBk, 69.72804279982167, 58.43989769820972, 56.70103092783505, 286.0, 14.0, 371.0, 8.0, 0.9533333333333334, 0.9727891156462585, 0.9886253202579733, 0.9341723733728176
BOOKKEEPER, OverSampling, None, 4, NaiveBayes, 69.72804279982167, 58.43989769820972, 56.70103092783505, 288.0, 175.0, 210.0, 6.0, 0.6220302375809935, 0.9795918367346939, 0.9720204965102924, 0.4916466398355386
BOOKKEEPER, OverSampling, None, 4, RandomForest, 69.72804279982167, 58.43989769820972, 56.70103092783505, 282.0, 25.0, 360.0, 12.0, 0.9185667752442996, 0.9591836734693877, 0.9858423889036134, 0.8895998031314405
BOOKKEEPER, OverSampling, None, 4, IBk, 69.72804279982167, 58.43989769820972, 56.70103092783505, 274.0, 18.0, 367.0, 20.0, 0.9383561643835616, 0.9319727891156463, 0.9667064228288718, 0.8859317942687379
BOOKKEEPER, SMOTE, None, 4, NaiveBayes, 69.72804279982167, 58.43989769820972, 56.70103092783505, 289.0, 212.0, 173.0, 5.0, 0.5768463073852296, 0.9829931972789115, 0.9849368318756074, 0.3991321971967686
BOOKKEEPER, SMOTE, None, 4, RandomForest, 69.72804279982167, 58.43989769820972, 56.70103092783505, 281.0, 1.0, 384.0, 13.0, 0.9964539007092199, 0.95578231292517, 0.9996996201077833, 0.9578051205567983
BOOKKEEPER, SMOTE, None, 4, IBk, 69.72804279982167, 58.43989769820972, 56.70103092783505, 284.0, 1.0, 384.0, 10.0, 0.9964912280701754, 0.9659863945578231, 0.9993639014047178, 0.9668870061757129
BOOKKEEPER, UnderSampling, None, 5, NaiveBayes, 72.68308489954633, 57.91350869371378, 47.21233689205219, 440.0, 211.0, 187.0, 5.0, 0.6758832565284179, 0.9887640449438202, 0.9866975326068544, 0.47150096651167656
BOOKKEEPER, UnderSampling, None, 5, RandomForest, 72.68308489954633, 57.91350869371378, 47.21233689205219, 441.0, 16.0, 382.0, 4.0, 0.9649890590809628, 0.9910112359550561, 0.9959573146632037, 0.9523265546180468
BOOKKEEPER, UnderSampling, None, 5, IBk, 72.68308489954633, 57.91350869371378, 47.21233689205219, 445.0, 9.0, 389.0, 0.0, 0.9801762114537445, 1.0, 0.9890745864152222, 0.9785554993400171
BOOKKEEPER, OverSampling, None, 5, NaiveBayes, 72.68308489954633, 57.91350869371378, 47.21233689205219, 441.0, 93.0, 305.0, 4.0, 0.8258426966292135, 0.9910112359550561, 0.984105922872791, 0.7663932669974889
BOOKKEEPER, OverSampling, None, 5, RandomForest, 72.68308489954633, 57.91350869371378, 47.21233689205219, 443.0, 22.0, 376.0, 2.0, 0.9526881720430107, 0.9955056179775281, 0.9900146801422844, 0.9427309782608695
BOOKKEEPER, OverSampling, None, 5, IBk, 72.68308489954633, 57.91350869371378, 47.21233689205219, 443.0, 12.0, 386.0, 2.0, 0.9736263736263736, 0.9955056179775281, 0.9895799220823217, 0.9666374558303888
BOOKKEEPER, SMOTE, None, 5, NaiveBayes, 72.68308489954633, 57.91350869371378, 47.21233689205219, 441.0, 212.0, 186.0, 4.0, 0.6753445635528331, 0.9910112359550561, 0.9915306871435831, 0.4713567372344997
BOOKKEEPER, SMOTE, None, 5, RandomForest, 72.68308489954633, 57.91350869371378, 47.21233689205219, 444.0, 14.0, 384.0, 1.0, 0.9694323144104804, 0.9977528089887641, 0.9972361809045226, 0.9642401635704972
BOOKKEEPER, SMOTE, None, 5, IBk, 72.68308489954633, 57.91350869371378, 47.21233689205219, 445.0, 8.0, 390.0, 0.0, 0.9823399558498896, 1.0, 0.9931963186720117, 0.980940753552413
BOOKKEEPER, UnderSampling, None, 6, NaiveBayes, 77.94897701439758, 54.99027867790019, 48.911798396334476, 434.0, 180.0, 247.0, 12.0, 0.7068403908794788, 0.9730941704035875, 0.9705317104420244, 0.5562098217595289
BOOKKEEPER, UnderSampling, None, 6, RandomForest, 77.94897701439758, 54.99027867790019, 48.911798396334476, 445.0, 31.0, 396.0, 1.0, 0.9348739495798319, 0.9977578475336323, 0.9998267188960418, 0.9265449076289592
BOOKKEEPER, UnderSampling, None, 6, IBk, 77.94897701439758, 54.99027867790019, 48.911798396334476, 445.0, 24.0, 403.0, 1.0, 0.9488272921108742, 0.9977578475336323, 0.9652781424265656, 0.9426332708629586
BOOKKEEPER, OverSampling, None, 6, NaiveBayes, 77.94897701439758, 54.99027867790019, 48.911798396334476, 425.0, 121.0, 306.0, 21.0, 0.7783882783882784, 0.952914798206278, 0.9642253284464561, 0.6728991197517573
BOOKKEEPER, OverSampling, None, 6, RandomForest, 77.94897701439758, 54.99027867790019, 48.911798396334476, 440.0, 34.0, 393.0, 6.0, 0.9282700421940928, 0.9865470852017937, 0.9979941399481207, 0.9081903079252903
BOOKKEEPER, OverSampling, None, 6, IBk, 77.94897701439758, 54.99027867790019, 48.911798396334476, 443.0, 27.0, 400.0, 3.0, 0.9425531914893617, 0.9932735426008968, 0.967512418479117, 0.9311564869042237
BOOKKEEPER, SMOTE, None, 6, NaiveBayes, 77.94897701439758, 54.99027867790019, 48.911798396334476, 434.0, 183.0, 244.0, 12.0, 0.7034035656401945, 0.9730941704035875, 0.9674336543409542, 0.5492075681544349
BOOKKEEPER, SMOTE, None, 6, RandomForest, 77.94897701439758, 54.99027867790019, 48.911798396334476, 445.0, 30.0, 397.0, 1.0, 0.9368421052631579, 0.9977578475336323, 0.9992701189863581, 0.928843934131406
BOOKKEEPER, SMOTE, None, 6, IBk, 77.94897701439758, 54.99027867790019, 48.911798396334476, 445.0, 26.0, 401.0, 1.0, 0.9447983014861996, 0.9977578475336323, 0.9655931989792168, 0.9380377435865082
BOOKKEEPER, UnderSampling, None, 7, NaiveBayes, 81.2102564102564, 53.64991159383683, 81.87772925764192, 162.0, 477.0, 273.0, 4.0, 0.2535211267605634, 0.9759036144578314, 0.8543293172690763, 0.16114021994090238
