Version, File, size, LOC_touched, LOC_added, MAX_LOC_Added, AVG_LOC_Added
1, hedwig-protocol/pom.xml, 82, 114, 98, 16, 7
1, hedwig-server/src/test/java/org/apache/hedwig/server/persistence/BookKeeperTestBase.java, 152, 168, 160, 27, 1
1, bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java, 0, 160, 80, 40, 80
1, bookkeeper-server/lib/README, 0, 10, 5, 3, 5
1, doc/hedwigBuild.textile, 42, 168, 105, 35, 63
1, hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java, 38, 42, 40, 20, 2
1, hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java, 452, 492, 472, 118, 17
1, bookkeeper/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java, 0, 294, 147, 74, 147
1, hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java, 81, 81, 81, 81, 81
1, hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java, 75, 87, 81, 41, 6
1, hedwig-client/src/main/cpp/m4/ax_boost_asio.m4, 111, 111, 111, 111, 111
1, hedwig-client/src/main/cpp/scripts/network-delays.sh, 68, 84, 76, 38, 8
1, bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java, 92, 106, 99, 33, 6
1, hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java, 99, 109, 104, 35, 2
1, hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java, 159, 167, 163, 54, 2
1, hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java, 70, 82, 76, 25, 2
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java, 514, 514, 514, 514, 514
1, README, 85, 89, 87, 44, 3
1, bookkeeper/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java, 0, 1042, 521, 261, 521
1, bookkeeper/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java, 0, 302, 151, 76, 151
1, hedwig-client/src/main/cpp/lib/clientimpl.h, 157, 159, 158, 40, 5
1, hedwig-client/src/main/resources/log4j.properties, 0, 64, 32, 16, 32
1, hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java, 111, 111, 111, 111, 111
1, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java, 64, 66, 65, 33, 1
1, hedwig-client/src/main/java/org/apache/hedwig/util/Option.java, 43, 43, 43, 43, 43
1, doc/doc.textile, 21, 21, 21, 11, 11
1, bookkeeper/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java, 0, 1526, 763, 382, 763
1, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java, 74, 78, 76, 38, 2
1, hedwig-client/src/main/cpp/test/main.cpp, 81, 83, 82, 41, 1
1, bookkeeper/src/main/java/org/apache/bookkeeper/util/MathUtils.java, 0, 76, 38, 19, 38
1, hedwig-server/src/main/resources/p12.pass, 1, 1, 1, 1, 1
1, hedwig-protocol/src/main/protobuf/PubSubProtocol.proto, 175, 175, 175, 175, 175
1, bookkeeper/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java, 0, 76, 38, 19, 38
1, doc/bookkeeperStream.textile, 124, 124, 124, 124, 124
1, hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java, 63, 71, 67, 34, 4
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java, 105, 119, 112, 28, 1
1, hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java, 104, 118, 111, 56, 7
1, formatter.xml, 286, 286, 286, 286, 286
1, bookkeeper/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java, 0, 266, 133, 67, 133
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java, 98, 98, 98, 98, 98
1, bookkeeper/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java, 0, 346, 173, 87, 173
