Dataset, Balancing, Feature Selection, Training Release, Classifier, Training% of total, Positive% in training, Positive% in testing, TP, FP, TN, FN, Precision, Recall, Auc, kappa
ZOOKEEPER, None, None, 17, NaiveBayes, 92.0255982192543, 77.14821309790167, 81.99581297976273, 671.0, 27.0, 231.0, 504.0, 0.9613180515759312, 0.571063829787234, 0.9176760679531585, 0.2709433376544611
ZOOKEEPER, None, None, 17, RandomForest, 92.0255982192543, 77.14821309790167, 81.99581297976273, 1175.0, 0.0, 258.0, 0.0, 1.0, 1.0, 1.0, 1.0
ZOOKEEPER, None, None, 17, IBk, 92.0255982192543, 77.14821309790167, 81.99581297976273, 1161.0, 0.0, 258.0, 14.0, 1.0, 0.9880851063829788, 0.9936170212765958, 0.9675968847009875
ZOOKEEPER, None, None, 18, NaiveBayes, 92.58114374034004, 77.53478018920423, 82.01388888888889, 671.0, 26.0, 233.0, 510.0, 0.9626972740315638, 0.5681625740897545, 0.9202789338267746, 0.27047672697508335
ZOOKEEPER, None, None, 18, RandomForest, 92.58114374034004, 77.53478018920423, 82.01388888888889, 1181.0, 1.0, 258.0, 0.0, 0.9991539763113367, 1.0, 0.9999869229335783, 0.9976425750938058
ZOOKEEPER, None, None, 18, IBk, 92.58114374034004, 77.53478018920423, 82.01388888888889, 1179.0, 1.0, 258.0, 2.0, 0.9991525423728813, 0.9983065198983911, 0.9972227580186936, 0.9929490109029183
ZOOKEEPER, None, None, 19, NaiveBayes, 93.07120594581635, 77.86707882534776, 81.93771626297578, 671.0, 26.0, 235.0, 513.0, 0.9626972740315638, 0.566722972972973, 0.9218216060888474, 0.270426931222829
ZOOKEEPER, None, None, 19, RandomForest, 93.07120594581635, 77.86707882534776, 81.93771626297578, 1184.0, 2.0, 259.0, 0.0, 0.9983136593591906, 1.0, 0.9999805840323082, 0.9953099795197029
ZOOKEEPER, None, None, 19, IBk, 93.07120594581635, 77.86707882534776, 81.93771626297578, 1184.0, 2.0, 259.0, 0.0, 0.9983136593591906, 1.0, 0.9961685823754789, 0.9953099795197029
ZOOKEEPER, None, BestFirst, 2, NaiveBayes, 49.82728842832469, 61.178509532062385, 61.44578313253012, 191.0, 85.0, 139.0, 166.0, 0.6920289855072463, 0.5350140056022409, 0.6390556222488996, 0.14573338253987791
ZOOKEEPER, None, BestFirst, 2, RandomForest, 49.82728842832469, 61.178509532062385, 61.44578313253012, 343.0, 19.0, 205.0, 14.0, 0.9475138121546961, 0.9607843137254902, 0.9880264605842337, 0.8796202698545247
ZOOKEEPER, None, BestFirst, 2, IBk, 49.82728842832469, 61.178509532062385, 61.44578313253012, 343.0, 19.0, 205.0, 14.0, 0.9475138121546961, 0.9607843137254902, 0.9886579631852741, 0.8796202698545247
ZOOKEEPER, None, BestFirst, 3, NaiveBayes, 63.76651982378855, 61.3126079447323, 65.80547112462007, 191.0, 85.0, 140.0, 242.0, 0.6920289855072463, 0.44110854503464203, 0.6099615088529639, 0.05424032772762037
ZOOKEEPER, None, BestFirst, 3, RandomForest, 63.76651982378855, 61.3126079447323, 65.80547112462007, 364.0, 19.0, 206.0, 69.0, 0.9503916449086162, 0.8406466512702079, 0.9381062355658198, 0.7178855054811205
ZOOKEEPER, None, BestFirst, 3, IBk, 63.76651982378855, 61.3126079447323, 65.80547112462007, 367.0, 20.0, 205.0, 66.0, 0.9483204134366925, 0.8475750577367206, 0.9429971773158841, 0.7231750628613918
ZOOKEEPER, None, BestFirst, 4, NaiveBayes, 73.31449333871619, 62.940528634361236, 65.9606656580938, 191.0, 85.0, 140.0, 245.0, 0.6920289855072463, 0.4380733944954128, 0.6075076452599388, 0.051443729344233816
ZOOKEEPER, None, BestFirst, 4, RandomForest, 73.31449333871619, 62.940528634361236, 65.9606656580938, 425.0, 20.0, 205.0, 11.0, 0.9550561797752809, 0.9747706422018348, 0.9936289500509684, 0.8945399148743444
ZOOKEEPER, None, BestFirst, 4, IBk, 73.31449333871619, 62.940528634361236, 65.9606656580938, 425.0, 20.0, 205.0, 11.0, 0.9550561797752809, 0.9747706422018348, 0.9937665647298675, 0.8945399148743444
ZOOKEEPER, None, BestFirst, 5, NaiveBayes, 75.44928419128846, 63.746467501009285, 72.08436724565756, 202.0, 95.0, 130.0, 379.0, 0.6801346801346801, 0.3476764199655766, 0.49677567412507173, -0.05375750922621181
ZOOKEEPER, None, BestFirst, 5, RandomForest, 75.44928419128846, 63.746467501009285, 72.08436724565756, 471.0, 20.0, 205.0, 110.0, 0.9592668024439919, 0.810671256454389, 0.9485446548097151, 0.6429861324065557
ZOOKEEPER, None, BestFirst, 5, IBk, 75.44928419128846, 63.746467501009285, 72.08436724565756, 471.0, 20.0, 205.0, 110.0, 0.9592668024439919, 0.810671256454389, 0.9644788678523618, 0.6429861324065557
ZOOKEEPER, None, BestFirst, 6, NaiveBayes, 80.13180375884794, 65.79348157173317, 72.35872235872236, 237.0, 120.0, 105.0, 352.0, 0.6638655462184874, 0.40237691001697795, 0.5075947934352009, -0.09931387304076135
ZOOKEEPER, None, BestFirst, 6, RandomForest, 80.13180375884794, 65.79348157173317, 72.35872235872236, 535.0, 15.0, 210.0, 54.0, 0.9727272727272728, 0.9083191850594228, 0.9702471231843048, 0.7988655164263769
ZOOKEEPER, None, BestFirst, 6, IBk, 80.13180375884794, 65.79348157173317, 72.35872235872236, 540.0, 20.0, 205.0, 49.0, 0.9642857142857143, 0.9168081494057725, 0.9750009432182607, 0.7962090810795122
ZOOKEEPER, None, BestFirst, 7, NaiveBayes, 82.61746319822545, 67.09787649499633, 73.66589327146171, 270.0, 129.0, 98.0, 365.0, 0.6766917293233082, 0.4251968503937008, 0.47678032536681814, -0.10726042571337932
ZOOKEEPER, None, BestFirst, 7, RandomForest, 82.61746319822545, 67.09787649499633, 73.66589327146171, 604.0, 20.0, 207.0, 31.0, 0.967948717948718, 0.9511811023622048, 0.9916889243470117, 0.8498452752597531
ZOOKEEPER, None, BestFirst, 7, IBk, 82.61746319822545, 67.09787649499633, 73.66589327146171, 606.0, 20.0, 207.0, 29.0, 0.9680511182108626, 0.9543307086614173, 0.9921814839224392, 0.8553304882142198
ZOOKEEPER, None, BestFirst, 8, NaiveBayes, 83.80936285279702, 68.23956442831216, 76.30480167014613, 386.0, 156.0, 71.0, 345.0, 0.7121771217712177, 0.5280437756497948, 0.47973025907422695, -0.12368131482218525
ZOOKEEPER, None, BestFirst, 8, RandomForest, 83.80936285279702, 68.23956442831216, 76.30480167014613, 690.0, 20.0, 207.0, 41.0, 0.971830985915493, 0.9439124487004104, 0.9898455437907158, 0.8293571766464791
ZOOKEEPER, None, BestFirst, 8, IBk, 83.80936285279702, 68.23956442831216, 76.30480167014613, 690.0, 20.0, 207.0, 41.0, 0.971830985915493, 0.9439124487004104, 0.9906651319476669, 0.8293571766464791
ZOOKEEPER, None, BestFirst, 9, NaiveBayes, 85.96542205433677, 69.54537772519858, 76.50103519668737, 577.0, 164.0, 63.0, 162.0, 0.7786774628879892, 0.7807848443843031, 0.49488831794364335, 0.05849642133208953
ZOOKEEPER, None, BestFirst, 9, RandomForest, 85.96542205433677, 69.54537772519858, 76.50103519668737, 723.0, 27.0, 200.0, 16.0, 0.964, 0.9783491204330176, 0.9928764314200044, 0.8740791938740247
ZOOKEEPER, None, BestFirst, 9, IBk, 85.96542205433677, 69.54537772519858, 76.50103519668737, 723.0, 27.0, 200.0, 16.0, 0.964, 0.9783491204330176, 0.9928764314200044, 0.8740791938740247
ZOOKEEPER, None, BestFirst, 10, NaiveBayes, 83.9390243902439, 70.52157489466802, 82.76385725132877, 1090.0, 227.0, 0.0, 0.0, 0.8276385725132878, 1.0, 0.5636018267792912, 0.0
ZOOKEEPER, None, BestFirst, 10, RandomForest, 83.9390243902439, 70.52157489466802, 82.76385725132877, 1056.0, 27.0, 200.0, 34.0, 0.9750692520775623, 0.9688073394495413, 0.9912662167077557, 0.8396150137452312
ZOOKEEPER, None, BestFirst, 10, IBk, 83.9390243902439, 70.52157489466802, 82.76385725132877, 1056.0, 27.0, 200.0, 34.0, 0.9750692520775623, 0.9688073394495413, 0.9912662167077557, 0.8396150137452312
ZOOKEEPER, None, BestFirst, 11, NaiveBayes, 86.08923884514435, 72.48780487804878, 81.88679245283019, 1085.0, 240.0, 0.0, 0.0, 0.8188679245283019, 1.0, 0.5654723502304148, 0.0
ZOOKEEPER, None, BestFirst, 11, RandomForest, 86.08923884514435, 72.48780487804878, 81.88679245283019, 1043.0, 34.0, 206.0, 42.0, 0.968430826369545, 0.9612903225806452, 0.9642453917050692, 0.8091212373947988
ZOOKEEPER, None, BestFirst, 11, IBk, 86.08923884514435, 72.48780487804878, 81.88679245283019, 1043.0, 34.0, 206.0, 42.0, 0.968430826369545, 0.9612903225806452, 0.950697004608295, 0.8091212373947988
ZOOKEEPER, None, BestFirst, 12, NaiveBayes, 87.2013183191431, 73.79527559055119, 81.68812589413447, 1142.0, 256.0, 0.0, 0.0, 0.8168812589413448, 1.0, 0.6394603081217163, 0.0
ZOOKEEPER, None, BestFirst, 12, RandomForest, 87.2013183191431, 73.79527559055119, 81.68812589413447, 1093.0, 49.0, 207.0, 49.0, 0.957092819614711, 0.957092819614711, 0.9294668755472855, 0.7656865696147109
ZOOKEEPER, None, BestFirst, 12, IBk, 87.2013183191431, 73.79527559055119, 81.68812589413447, 1093.0, 49.0, 207.0, 49.0, 0.957092819614711, 0.957092819614711, 0.9430891528021016, 0.7656865696147109
ZOOKEEPER, None, BestFirst, 13, NaiveBayes, 88.65351838324811, 74.80545637645335, 81.68812589413447, 1142.0, 256.0, 0.0, 0.0, 0.8168812589413448, 1.0, 0.6543071366024519, 0.0
ZOOKEEPER, None, BestFirst, 13, RandomForest, 88.65351838324811, 74.80545637645335, 81.68812589413447, 1093.0, 49.0, 207.0, 49.0, 0.957092819614711, 0.957092819614711, 0.9733933751094571, 0.7656865696147109
ZOOKEEPER, None, BestFirst, 13, IBk, 88.65351838324811, 74.80545637645335, 81.68812589413447, 1093.0, 49.0, 207.0, 49.0, 0.957092819614711, 0.957092819614711, 0.9733762724387041, 0.7656865696147109
ZOOKEEPER, None, BestFirst, 14, NaiveBayes, 89.77703293500437, 75.58639720801882, 81.75338560228083, 1147.0, 256.0, 0.0, 0.0, 0.8175338560228083, 1.0, 0.6361329827811683, 0.0
ZOOKEEPER, None, BestFirst, 14, RandomForest, 89.77703293500437, 75.58639720801882, 81.75338560228083, 1098.0, 49.0, 207.0, 49.0, 0.9572798605056669, 0.9572798605056669, 0.9733067240627724, 0.7658736105056669
ZOOKEEPER, None, BestFirst, 14, IBk, 89.77703293500437, 75.58639720801882, 81.75338560228083, 1098.0, 49.0, 207.0, 49.0, 0.9572798605056669, 0.9572798605056669, 0.9733067240627724, 0.7658736105056669
ZOOKEEPER, None, BestFirst, 15, NaiveBayes, 90.71919619249074, 76.21684640046634, 81.69515669515668, 1147.0, 257.0, 0.0, 0.0, 0.8169515669515669, 1.0, 0.6356219405045814, 0.0
ZOOKEEPER, None, BestFirst, 15, RandomForest, 90.71919619249074, 76.21684640046634, 81.69515669515668, 1098.0, 49.0, 208.0, 49.0, 0.9572798605056669, 0.9572798605056669, 0.9738990905050903, 0.766618381906445
ZOOKEEPER, None, BestFirst, 15, IBk, 90.71919619249074, 76.21684640046634, 81.69515669515668, 1098.0, 49.0, 208.0, 49.0, 0.9572798605056669, 0.9572798605056669, 0.9736344854959139, 0.766618381906445
ZOOKEEPER, None, BestFirst, 16, NaiveBayes, 91.47971216060954, 76.72527763088313, 81.68914123491838, 1151.0, 258.0, 0.0, 0.0, 0.8168914123491838, 1.0, 0.6348254635335636, 0.0
ZOOKEEPER, None, BestFirst, 16, RandomForest, 91.47971216060954, 76.72527763088313, 81.68914123491838, 1099.0, 50.0, 208.0, 52.0, 0.9564838990426457, 0.9548218940052129, 0.9707837471965732, 0.758741787000883
ZOOKEEPER, None, BestFirst, 16, IBk, 91.47971216060954, 76.72527763088313, 81.68914123491838, 1114.0, 57.0, 201.0, 37.0, 0.9513236549957301, 0.9678540399652477, 0.9718933317169431, 0.7700813809768496
ZOOKEEPER, None, BestFirst, 17, NaiveBayes, 92.0255982192543, 77.14821309790167, 81.99581297976273, 1175.0, 258.0, 0.0, 0.0, 0.8199581297976274, 1.0, 0.6299422728022431, 0.0
ZOOKEEPER, None, BestFirst, 17, RandomForest, 92.0255982192543, 77.14821309790167, 81.99581297976273, 1116.0, 57.0, 201.0, 59.0, 0.9514066496163683, 0.9497872340425532, 0.9661636153719281, 0.7266589271443465
ZOOKEEPER, None, BestFirst, 17, IBk, 92.0255982192543, 77.14821309790167, 81.99581297976273, 1116.0, 57.0, 201.0, 59.0, 0.9514066496163683, 0.9497872340425532, 0.966051459673429, 0.7266589271443465
ZOOKEEPER, None, BestFirst, 18, NaiveBayes, 92.58114374034004, 77.53478018920423, 82.01388888888889, 1181.0, 259.0, 0.0, 0.0, 0.8201388888888889, 1.0, 0.6290493953491413, 0.0
ZOOKEEPER, None, BestFirst, 18, RandomForest, 92.58114374034004, 77.53478018920423, 82.01388888888889, 1118.0, 57.0, 202.0, 63.0, 0.9514893617021276, 0.9466553767993227, 0.9659554922044338, 0.720066743345915
ZOOKEEPER, None, BestFirst, 18, IBk, 92.58114374034004, 77.53478018920423, 82.01388888888889, 1118.0, 57.0, 202.0, 63.0, 0.9514893617021276, 0.9466553767993227, 0.9659554922044338, 0.720066743345915
ZOOKEEPER, None, BestFirst, 19, NaiveBayes, 93.07120594581635, 77.86707882534776, 81.93771626297578, 1184.0, 261.0, 0.0, 0.0, 0.8193771626297578, 1.0, 0.628756989748369, 0.0
ZOOKEEPER, None, BestFirst, 19, RandomForest, 93.07120594581635, 77.86707882534776, 81.93771626297578, 1124.0, 59.0, 202.0, 60.0, 0.9501267962806424, 0.9493243243243243, 0.9611033447240344, 0.7221921543981865
ZOOKEEPER, None, BestFirst, 19, IBk, 93.07120594581635, 77.86707882534776, 81.93771626297578, 1124.0, 59.0, 202.0, 60.0, 0.9501267962806424, 0.9493243243243243, 0.963349124987056, 0.7221921543981865
ZOOKEEPER, UnderSampling, None, 2, NaiveBayes, 49.82728842832469, 61.178509532062385, 61.44578313253012, 216.0, 10.0, 214.0, 141.0, 0.9557522123893806, 0.6050420168067226, 0.8479516806722689, 0.5053479101708962
ZOOKEEPER, UnderSampling, None, 2, RandomForest, 49.82728842832469, 61.178509532062385, 61.44578313253012, 319.0, 0.0, 224.0, 38.0, 1.0, 0.8935574229691877, 0.9999749899959984, 0.8661858294442087
ZOOKEEPER, UnderSampling, None, 2, IBk, 49.82728842832469, 61.178509532062385, 61.44578313253012, 345.0, 0.0, 224.0, 12.0, 1.0, 0.9663865546218487, 0.9831932773109243, 0.9568382735309412
ZOOKEEPER, OverSampling, None, 2, NaiveBayes, 49.82728842832469, 61.178509532062385, 61.44578313253012, 204.0, 14.0, 210.0, 153.0, 0.9357798165137615, 0.5714285714285714, 0.8457633053221288, 0.45619679077249015
ZOOKEEPER, OverSampling, None, 2, RandomForest, 49.82728842832469, 61.178509532062385, 61.44578313253012, 325.0, 3.0, 221.0, 32.0, 0.9908536585365854, 0.9103641456582633, 0.9964610844337735, 0.8758493952733023
ZOOKEEPER, OverSampling, None, 2, IBk, 49.82728842832469, 61.178509532062385, 61.44578313253012, 345.0, 6.0, 218.0, 12.0, 0.9829059829059829, 0.9663865546218487, 0.9710946878751501, 0.9349359811863078
ZOOKEEPER, SMOTE, None, 2, NaiveBayes, 49.82728842832469, 61.178509532062385, 61.44578313253012, 216.0, 11.0, 213.0, 141.0, 0.9515418502202643, 0.6050420168067226, 0.8763505402160864, 0.5016983963978197
ZOOKEEPER, SMOTE, None, 2, RandomForest, 49.82728842832469, 61.178509532062385, 61.44578313253012, 353.0, 0.0, 224.0, 4.0, 1.0, 0.988795518207283, 1.0, 0.9855173617169778
ZOOKEEPER, SMOTE, None, 2, IBk, 49.82728842832469, 61.178509532062385, 61.44578313253012, 354.0, 0.0, 224.0, 3.0, 1.0, 0.9915966386554622, 0.9958358343337335, 0.9891290111329404
ZOOKEEPER, UnderSampling, None, 3, NaiveBayes, 63.76651982378855, 61.3126079447323, 65.80547112462007, 223.0, 10.0, 215.0, 210.0, 0.9570815450643777, 0.5150115473441108, 0.8544829355914806, 0.38777754282089244
ZOOKEEPER, UnderSampling, None, 3, RandomForest, 63.76651982378855, 61.3126079447323, 65.80547112462007, 356.0, 1.0, 224.0, 77.0, 0.9971988795518207, 0.8221709006928406, 0.9988196048242237, 0.7563633946966172
ZOOKEEPER, UnderSampling, None, 3, IBk, 63.76651982378855, 61.3126079447323, 65.80547112462007, 384.0, 0.0, 225.0, 49.0, 1.0, 0.8868360277136259, 0.9341801385681293, 0.8427541674388661
ZOOKEEPER, OverSampling, None, 3, NaiveBayes, 63.76651982378855, 61.3126079447323, 65.80547112462007, 216.0, 8.0, 217.0, 217.0, 0.9642857142857143, 0.49884526558891457, 0.8704336669232743, 0.37878164835810374
ZOOKEEPER, OverSampling, None, 3, RandomForest, 63.76651982378855, 61.3126079447323, 65.80547112462007, 352.0, 2.0, 223.0, 81.0, 0.9943502824858758, 0.812933025404157, 0.9962945855786502, 0.7415113450270254
ZOOKEEPER, OverSampling, None, 3, IBk, 63.76651982378855, 61.3126079447323, 65.80547112462007, 387.0, 2.0, 223.0, 46.0, 0.9948586118251928, 0.8937644341801386, 0.941662817551963, 0.8451779884510936
ZOOKEEPER, SMOTE, None, 3, NaiveBayes, 63.76651982378855, 61.3126079447323, 65.80547112462007, 226.0, 14.0, 211.0, 207.0, 0.9416666666666667, 0.5219399538106235, 0.8840749294328971, 0.38118420044767093
ZOOKEEPER, SMOTE, None, 3, RandomForest, 63.76651982378855, 61.3126079447323, 65.80547112462007, 359.0, 1.0, 224.0, 74.0, 0.9972222222222222, 0.8290993071593533, 0.9992301770592764, 0.765038041459954
ZOOKEEPER, SMOTE, None, 3, IBk, 63.76651982378855, 61.3126079447323, 65.80547112462007, 389.0, 0.0, 225.0, 44.0, 1.0, 0.8983833718244804, 0.9415755709520144, 0.8580798227468359
